,0
873,6.450409489045051
874,7.315354719209378
875,8.286722100856208
876,9.35065571670869
877,10.476844691948116
878,11.612927827407177
879,12.68108005289672
880,13.580356847755226
881,14.198543358669559
882,14.434513301362607
883,14.22599049650242
884,13.571380861487807
885,12.534098911273409
886,11.226189314166472
887,9.779310394592157
888,8.316269723754816
889,6.932623931783459
890,5.690441215370799
891,4.6210366857167875
892,3.7320835753154187
893,3.0155488129111943
894,2.4545413371049376
895,2.02842191048141
896,1.7162200943673527
897,1.4986856582065997
898,1.3593551533252448
899,1.2849688862384052
900,1.265498421563707
901,1.2939710899821983
902,1.366216935437386
903,1.4806171759076374
904,1.6378999015573192
905,1.8410053631417787
906,2.09502634901743
907,2.4072151075799457
908,2.7870328582144515
909,3.2461959100646083
910,3.798636659373716
911,4.460238444510836
912,5.248107919402281
913,6.17900547734768
914,7.266364833814937
915,8.515145448267806
916,9.913741262382196
917,11.42270394971447
918,12.96178508370049
919,14.400340701226481
920,15.56069260295253
921,16.245434730092352
922,16.290870655451677
923,15.62831740835276
924,14.318371443174145
925,12.533479190544115
926,10.498912939868148
927,8.427772738395246
928,6.4796416150647
929,4.749325451992902
930,3.2757568077655845
931,2.0584627553864268
932,1.073471095323049
933,0.2854218054470369
934,-0.34445410609405935
935,-0.85369073707432
936,-1.2762836188639306
937,-1.6418867570185567
938,-1.9758975843661857
939,-2.3000147061603835
940,-2.6329998493066773
941,-2.9914744692945274
942,-3.3906417703356837
943,-3.8448537931240754
944,-4.3679452716045715
945,-4.973233312462532
946,-5.6730360349388675
947,-6.477498852791264
948,-7.392450875539249
949,-8.415991255859034
950,-9.533624277578516
951,-10.71219171865067
952,-11.89379474895758
953,-12.992399451108609
954,-13.897335816328042
955,-14.487868536844458
956,-14.659359562319239
957,-14.354087841256373
958,-13.583090568496974
959,-12.426714815309213
960,-11.012633361367941
961,-9.482540790351312
962,-7.962486300373228
963,-6.545868099468981
964,-5.289599941464823
965,-4.218968123923874
966,-3.336073040235054
967,-2.6283544075909884
968,-2.0755402563990537
969,-1.6546070490714826
970,-1.3429555016446375
971,-1.120214815491891
972,-0.9690929668880941
973,-0.8756183708025381
974,-0.8290302804106309
975,-0.8214966288119088
976,-0.847776048227379
977,-0.9048955568979606
978,-0.9918842942531744
979,-1.1095834790660561
980,-1.2605403619814342
981,-1.4489865946477996
982,-1.680896690854859
983,-1.9641177101962752
984,-2.3085541721018257
985,-2.726378679823014
986,-3.2322129369856567
987,-3.8431765416359465
988,-4.578618152787013
989,-5.459206485839183
990,-6.5048487362433445
